figure	page	image_index	width	height	source_bytes	file
1	2	2	431	391	11139	figure-001.png
2	3	2	469	508	28066	figure-002.png
3	3	4	367	382	31059	figure-003.png
4	3	5	869	383	27826	figure-004.png
5	3	8	367	382	26679	figure-005.png
6	3	9	367	382	23360	figure-006.png
7	4	3	829	535	21432	figure-007.png
8	4	5	1019	357	31034	figure-008.png
9	5	3	869	383	22912	figure-009.png
10	5	6	367	382	31605	figure-010.png
11	5	8	367	382	24379	figure-011.png
12	6	1	493	385	16900	figure-012.png
13	6	3	752	452	21347	figure-013.png
14	6	5	921	501	25689	figure-014.png
15	7	1	752	452	21687	figure-015.png
16	7	3	752	452	22500	figure-016.png
17	7	6	870	623	28941	figure-017.png
18	7	7	870	623	29506	figure-018.png
19	7	9	752	452	14588	figure-019.png
20	8	2	368	382	31657	figure-020.png
21	8	3	368	382	21181	figure-021.png
22	8	5	493	385	23532	figure-022.png
23	9	1	368	382	19614	figure-023.png
24	9	3	870	623	36877	figure-024.png
25	9	5	368	382	17668	figure-025.png
26	9	6	870	579	32666	figure-026.png
27	10	2	368	382	16821	figure-027.png
28	10	3	368	382	18949	figure-028.png
29	10	5	368	382	13727	figure-029.png
30	11	1	752	452	31246	figure-030.png
31	11	3	368	382	23193	figure-031.png
32	11	6	869	653	42221	figure-032.png
33	12	1	752	452	14488	figure-033.png
34	12	3	869	653	52720	figure-034.png
35	12	5	752	452	16031	figure-035.png
36	13	1	631	590	65053	figure-036.png
37	13	5	751	426	31897	figure-037.png
38	14	1	752	452	16902	figure-038.png
39	14	3	752	452	18497	figure-039.png
40	14	5	368	382	16722	figure-040.png
41	14	7	870	623	35409	figure-041.png
42	15	1	870	579	26112	figure-042.png
43	15	3	368	382	15145	figure-043.png
44	15	5	869	653	42573	figure-044.png
45	16	1	1080	774	61572	figure-045.png
46	17	1	1238	662	61912	figure-046.png
47	18	1	1238	661	39432	figure-047.png
48	19	3	1080	774	50191	figure-048.png
49	20	1	1080	774	37326	figure-049.png
50	21	1	1319	661	24325	figure-050.png
51	21	3	803	500	9720	figure-051.png
52	22	1	368	382	15099	figure-052.png
53	22	3	870	579	23624	figure-053.png
54	22	6	869	653	35246	figure-054.png
